cell_id,i_n,i_log_eta,i_log_sy,i_W,i_H,n_lo,n_hi,log_eta_lo,log_eta_hi,log_sy_lo,log_sy_hi,W_lo,W_hi,H_lo,H_hi,current_n,target_n,priority_mult,deficit,est_particles,est_cost,machine_id
38,3,2,1,0,0,0.7200000006,0.8600000007999999,2.0835766375058262,3.2903119168892845,-3.842375067243693,-1.8756071441733577,2.0,3.6666666670000003,2.0,3.6666666670000003,52,110,2,58,184409.77542510902,10695766.974656323,0
39,4,2,1,0,0,0.8600000007999999,1.000000001,2.0835766375058262,3.2903119168892845,-3.842375067243693,-1.8756071441733577,2.0,3.6666666670000003,2.0,3.6666666670000003,63,110,2,47,184409.77542510902,8667259.444980124,0
41,1,3,1,0,0,0.44000000019999996,0.5800000004,3.2903119168892845,4.497047196272742,-3.842375067243693,-1.8756071441733577,2.0,3.6666666670000003,2.0,3.6666666670000003,92,110,2,18,184409.77542510902,3319375.9576519625,0
42,2,3,1,0,0,0.5800000004,0.7200000006,3.2903119168892845,4.497047196272742,-3.842375067243693,-1.8756071441733577,2.0,3.6666666670000003,2.0,3.6666666670000003,70,110,2,40,184409.77542510902,7376391.017004361,0
45,0,4,1,0,0,0.3,0.44000000019999996,4.497047196272742,5.703782475656201,-3.842375067243693,-1.8756071441733577,2.0,3.6666666670000003,2.0,3.6666666670000003,63,110,2,47,184409.77542510902,8667259.444980124,0
46,1,4,1,0,0,0.44000000019999996,0.5800000004,4.497047196272742,5.703782475656201,-3.842375067243693,-1.8756071441733577,2.0,3.6666666670000003,2.0,3.6666666670000003,78,110,2,32,184409.77542510902,5901112.813603489,0
48,3,4,1,0,0,0.7200000006,0.8600000007999999,4.497047196272742,5.703782475656201,-3.842375067243693,-1.8756071441733577,2.0,3.6666666670000003,2.0,3.6666666670000003,65,110,2,45,184409.77542510902,8298439.894129906,0
51,1,0,2,0,0,0.44000000019999996,0.5800000004,-0.3298939212610904,0.8768413581223679,-1.8756071441733577,0.09116077889697749,2.0,3.6666666670000003,2.0,3.6666666670000003,101,165,3,64,184409.77542510902,11802225.627206977,0
52,2,0,2,0,0,0.5800000004,0.7200000006,-0.3298939212610904,0.8768413581223679,-1.8756071441733577,0.09116077889697749,2.0,3.6666666670000003,2.0,3.6666666670000003,104,165,3,61,184409.77542510902,11248996.300931651,0
53,3,0,2,0,0,0.7200000006,0.8600000007999999,-0.3298939212610904,0.8768413581223679,-1.8756071441733577,0.09116077889697749,2.0,3.6666666670000003,2.0,3.6666666670000003,92,165,3,73,184409.77542510902,13461913.606032958,0
54,4,0,2,0,0,0.8600000007999999,1.000000001,-0.3298939212610904,0.8768413581223679,-1.8756071441733577,0.09116077889697749,2.0,3.6666666670000003,2.0,3.6666666670000003,97,165,3,68,184409.77542510902,12539864.728907414,0
57,2,1,2,0,0,0.5800000004,0.7200000006,0.8768413581223679,2.0835766375058262,-1.8756071441733577,0.09116077889697749,2.0,3.6666666670000003,2.0,3.6666666670000003,95,165,3,70,184409.77542510902,12908684.279757632,0
58,3,1,2,0,0,0.7200000006,0.8600000007999999,0.8768413581223679,2.0835766375058262,-1.8756071441733577,0.09116077889697749,2.0,3.6666666670000003,2.0,3.6666666670000003,110,165,3,55,184409.77542510902,10142537.648380997,0
59,4,1,2,0,0,0.8600000007999999,1.000000001,0.8768413581223679,2.0835766375058262,-1.8756071441733577,0.09116077889697749,2.0,3.6666666670000003,2.0,3.6666666670000003,100,165,3,65,184409.77542510902,11986635.402632086,0
61,1,2,2,0,0,0.44000000019999996,0.5800000004,2.0835766375058262,3.2903119168892845,-1.8756071441733577,0.09116077889697749,2.0,3.6666666670000003,2.0,3.6666666670000003,92,110,2,18,184409.77542510902,3319375.9576519625,0
65,0,3,2,0,0,0.3,0.44000000019999996,3.2903119168892845,4.497047196272742,-1.8756071441733577,0.09116077889697749,2.0,3.6666666670000003,2.0,3.6666666670000003,91,110,2,19,184409.77542510902,3503785.7330770716,0
68,3,3,2,0,0,0.7200000006,0.8600000007999999,3.2903119168892845,4.497047196272742,-1.8756071441733577,0.09116077889697749,2.0,3.6666666670000003,2.0,3.6666666670000003,83,110,2,27,184409.77542510902,4979063.936477943,0
75,0,0,3,0,0,0.3,0.44000000019999996,-0.3298939212610904,0.8768413581223679,0.09116077889697749,2.0579287019673123,2.0,3.6666666670000003,2.0,3.6666666670000003,79,110,2,31,184409.77542510902,5716703.03817838,0
77,2,0,3,0,0,0.5800000004,0.7200000006,-0.3298939212610904,0.8768413581223679,0.09116077889697749,2.0579287019673123,2.0,3.6666666670000003,2.0,3.6666666670000003,78,110,2,32,184409.77542510902,5901112.813603489,0
79,4,0,3,0,0,0.8600000007999999,1.000000001,-0.3298939212610904,0.8768413581223679,0.09116077889697749,2.0579287019673123,2.0,3.6666666670000003,2.0,3.6666666670000003,105,110,2,5,184409.77542510902,922048.8771255452,0
90,0,3,3,0,0,0.3,0.44000000019999996,3.2903119168892845,4.497047196272742,0.09116077889697749,2.0579287019673123,2.0,3.6666666670000003,2.0,3.6666666670000003,47,55,1,8,184409.77542510902,1475278.2034008722,0
100,0,0,4,0,0,0.3,0.44000000019999996,-0.3298939212610904,0.8768413581223679,2.0579287019673123,4.024696625037647,2.0,3.6666666670000003,2.0,3.6666666670000003,101,110,2,9,184409.77542510902,1659687.9788259813,0
102,2,0,4,0,0,0.5800000004,0.7200000006,-0.3298939212610904,0.8768413581223679,2.0579287019673123,4.024696625037647,2.0,3.6666666670000003,2.0,3.6666666670000003,106,110,2,4,184409.77542510902,737639.1017004361,0
127,2,0,5,0,0,0.5800000004,0.7200000006,-0.3298939212610904,0.8768413581223679,4.024696625037647,5.991464548107982,2.0,3.6666666670000003,2.0,3.6666666670000003,33,110,2,77,184409.77542510902,14199552.707733395,0
128,3,0,5,0,0,0.7200000006,0.8600000007999999,-0.3298939212610904,0.8768413581223679,4.024696625037647,5.991464548107982,2.0,3.6666666670000003,2.0,3.6666666670000003,43,110,2,67,184409.77542510902,12355454.953482304,0
129,4,0,5,0,0,0.8600000007999999,1.000000001,-0.3298939212610904,0.8768413581223679,4.024696625037647,5.991464548107982,2.0,3.6666666670000003,2.0,3.6666666670000003,50,110,2,60,184409.77542510902,11064586.525506541,0
131,1,1,5,0,0,0.44000000019999996,0.5800000004,0.8768413581223679,2.0835766375058262,4.024696625037647,5.991464548107982,2.0,3.6666666670000003,2.0,3.6666666670000003,86,110,2,24,184409.77542510902,4425834.610202616,0
133,3,1,5,0,0,0.7200000006,0.8600000007999999,0.8768413581223679,2.0835766375058262,4.024696625037647,5.991464548107982,2.0,3.6666666670000003,2.0,3.6666666670000003,86,110,2,24,184409.77542510902,4425834.610202616,0
134,4,1,5,0,0,0.8600000007999999,1.000000001,0.8768413581223679,2.0835766375058262,4.024696625037647,5.991464548107982,2.0,3.6666666670000003,2.0,3.6666666670000003,91,110,2,19,184409.77542510902,3503785.7330770716,0
151,1,0,0,1,0,0.44000000019999996,0.5800000004,-0.3298939212610904,0.8768413581223679,-5.809142990314028,-3.842375067243693,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,0,165,3,165,276614.6631514942,45641419.419996545,0
152,2,0,0,1,0,0.5800000004,0.7200000006,-0.3298939212610904,0.8768413581223679,-5.809142990314028,-3.842375067243693,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,22,165,3,143,276614.6631514942,39555896.83066367,0
153,3,0,0,1,0,0.7200000006,0.8600000007999999,-0.3298939212610904,0.8768413581223679,-5.809142990314028,-3.842375067243693,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,48,165,3,117,276614.6631514942,32363915.588724826,0
154,4,0,0,1,0,0.8600000007999999,1.000000001,-0.3298939212610904,0.8768413581223679,-5.809142990314028,-3.842375067243693,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,0,165,3,165,276614.6631514942,45641419.419996545,0
155,0,1,0,1,0,0.3,0.44000000019999996,0.8768413581223679,2.0835766375058262,-5.809142990314028,-3.842375067243693,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,68,165,3,97,276614.6631514942,26831622.32569494,0
157,2,1,0,1,0,0.5800000004,0.7200000006,0.8768413581223679,2.0835766375058262,-5.809142990314028,-3.842375067243693,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,50,165,3,115,276614.6631514942,31810686.262421835,0
158,3,1,0,1,0,0.7200000006,0.8600000007999999,0.8768413581223679,2.0835766375058262,-5.809142990314028,-3.842375067243693,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,34,165,3,131,276614.6631514942,36236520.87284575,0
159,4,1,0,1,0,0.8600000007999999,1.000000001,0.8768413581223679,2.0835766375058262,-5.809142990314028,-3.842375067243693,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,25,165,3,140,276614.6631514942,38726052.84120919,0
160,0,2,0,1,0,0.3,0.44000000019999996,2.0835766375058262,3.2903119168892845,-5.809142990314028,-3.842375067243693,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,88,110,2,22,276614.6631514942,6085522.589332873,0
161,1,2,0,1,0,0.44000000019999996,0.5800000004,2.0835766375058262,3.2903119168892845,-5.809142990314028,-3.842375067243693,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,71,110,2,39,276614.6631514942,10787971.862908274,0
162,2,2,0,1,0,0.5800000004,0.7200000006,2.0835766375058262,3.2903119168892845,-5.809142990314028,-3.842375067243693,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,53,110,2,57,276614.6631514942,15767035.799635172,0
163,3,2,0,1,0,0.7200000006,0.8600000007999999,2.0835766375058262,3.2903119168892845,-5.809142990314028,-3.842375067243693,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,30,110,2,80,276614.6631514942,22129173.05211954,0
166,1,3,0,1,0,0.44000000019999996,0.5800000004,3.2903119168892845,4.497047196272742,-5.809142990314028,-3.842375067243693,3.6666666670000003,5.333333334000001,2.0,3.6666666670000003,34,110,2,76,276614.6631514942,21022714.39951356,0
