n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,sim_seconds,sub_id,cluster_id
0.308176057616512,47.33162012410084,0.9055509017343046,3.758853428329013,3.4186093133214706,1.0666120052337646,3.34660267829895,5.450057029724121,6.751348495483398,7.237103462219238,7.422098159790039,7.555700302124023,7.632534980773926,4.515,3,1
0.5028548383625364,7.5749259931799084,12.104839649679914,3.649320642621645,3.48122942417839,1.2376952171325684,4.007606506347656,6.784615516662598,8.729430198669434,9.61889362335205,9.874095916748047,9.999187469482422,10.131603240966797,4.525,3,1
0.45688870381378305,264.99445171772174,0.5293735309943217,3.919401477726762,3.252618454911757,0.3906428813934326,0.7653229236602783,1.0561258792877197,1.2920081615447998,1.4867517948150635,1.6521179676055908,1.7960355281829834,1.922377347946167,4.419,9,5
0.776976934813227,287.2755982770103,4.0570007502373535,3.1676078410112782,3.529594182298098,0.24221420288085938,0.37570810317993164,0.5319910049438477,0.6769099235534668,0.8103046417236328,0.9388034343719482,1.0600001811981201,1.1747963428497314,3.99,0,0
0.4764677158525658,48.30197667859605,107.37290628304847,3.057637133222021,3.629122596038223,0.7649991512298584,2.311389207839966,3.559069871902466,4.2114667892456055,4.440712928771973,4.530517578125,4.584092140197754,4.628665924072266,3.924,12,6
0.5538376708624246,131.71403196159463,303.7807204009379,3.082140238633159,3.185261531724395,0.32643651962280273,0.5906672477722168,0.7724061012268066,0.9140744209289551,1.029259204864502,1.126697063446045,1.2098946571350098,1.2826428413391113,3.61,1,0
0.47465915814142823,14.906196828073169,1.356509035596708,3.883565981323714,3.1681350297577504,1.1660964488983154,3.6430652141571045,5.892851829528809,7.261641502380371,7.826504707336426,8.10534381866455,8.360921859741211,8.58395767211914,4.38,3,1
0.33652722556997305,20.072786053540888,48.60270564349312,3.0697482327489785,3.183698279686562,1.0617012977600098,3.349252700805664,5.544931888580322,6.977814197540283,7.454339504241943,7.522744655609131,7.567891597747803,7.589317798614502,3.718,3,1
0.9067057063203465,147.97459395384672,0.6235076944320275,3.9472198075060962,3.4062006505901263,0.3442215919494629,0.6224179267883301,0.8904542922973633,1.133080005645752,1.352330207824707,1.5514721870422363,1.7313365936279297,1.8938345909118652,4.644,9,5
0.8642400404203292,0.8738766839532032,36.33227894542439,3.4110136074294473,3.421547443853445,1.2253198623657227,3.9498677253723145,6.655778884887695,8.532292366027832,9.440764427185059,9.774520874023438,9.928351402282715,10.061777114868164,4.205,3,1
0.9098737911895194,17.515967186564094,1.909111754821213,3.3292459706917854,3.658021777793751,0.8226783275604248,2.332942247390747,3.4374048709869385,4.069068908691406,4.458115577697754,4.7322893142700195,4.940402030944824,5.110291481018066,4.308,3,1
0.40132159665500133,12.331163002920993,32.280831866866706,3.2672797173411054,3.1458282315054285,1.1385724544525146,3.6186912059783936,6.064729690551758,7.730008125305176,8.365687370300293,8.474885940551758,8.524068832397461,8.565546035766602,3.862,3,1
0.6755282825789084,1.019753710987192,186.0311295415565,3.5834385126424126,3.0417541905379535,0.8948791027069092,2.741788148880005,4.4380950927734375,5.440029144287109,5.699001312255859,5.759187698364258,5.764519691467285,5.764275550842285,3.964,3,1
0.8610107805448037,10.394664380801396,8.503025636178627,3.4152421597492726,3.721412482202561,0.982844352722168,2.9435038566589355,4.491199970245361,5.361310005187988,5.835763931274414,6.139500617980957,6.3592119216918945,6.530234336853027,4.452,3,1
0.7941121142692882,27.227912652955737,0.03487099185799979,3.744698008225387,3.1227567167104766,0.7726418972015381,2.1098525524139404,3.061509370803833,3.608635663986206,3.9555366039276123,4.209943771362305,4.4101409912109375,4.574295997619629,4.124,11,6
0.37681599236285546,230.58638378750908,155.1267244403117,3.1920349829214825,3.9919722023847424,0.42764997482299805,0.9402141571044922,1.3149642944335938,1.55820894241333,1.7295942306518555,1.8678255081176758,1.9814891815185547,2.079665184020996,4.416,18,9
0.6376134443718582,266.3736643580231,0.14037214553104452,3.362337327034538,3.793483989042117,0.32265448570251465,0.5545780658721924,0.7769792079925537,0.9788482189178467,1.162571668624878,1.3303430080413818,1.4830362796783447,1.622894048690796,4.357,0,0
0.35295259315428523,33.79718558668803,2.5712537203118337,3.7642904384436418,3.172509016149718,1.0844290256500244,3.3619601726531982,5.424243927001953,6.633815765380859,7.089316368103027,7.299150466918945,7.459286689758301,7.581538200378418,4.353,3,1
0.7767985688025388,5.336984583216969,0.031100303153563717,3.6001459141882624,3.762110601326356,1.1971042156219482,3.753999948501587,6.035154342651367,7.442462921142578,8.139327049255371,8.536404609680176,8.85488510131836,9.109138488769531,4.737,2,1
0.8875996648078224,66.31094886860541,0.12076878358850406,3.2062097002353562,3.0502244570565096,0.46324872970581055,1.0274348258972168,1.474980354309082,1.8186278343200684,2.0884666442871094,2.309475898742676,2.4956202507019043,2.6566977500915527,3.708,17,9
0.3899258479442214,44.6564681797672,1.1623247539495027,3.1966552732101525,3.6518940751031663,1.009347915649414,3.171234130859375,5.117908477783203,6.28133487701416,6.723445892333984,6.901185035705566,6.988897323608398,7.06141471862793,4.347,3,1
0.69490518915644,71.51350543566701,0.03538062216687199,3.905199339303058,3.63090544444881,0.6397550106048584,1.6630885601043701,2.447256326675415,2.929558515548706,3.248671293258667,3.4898970127105713,3.685516595840454,3.84954571723938,4.89,11,6
0.3486144927948457,7.4924570548090745,1.212319395761352,3.30526932636859,3.38427602306615,1.3019936084747314,4.342236518859863,7.747372627258301,10.527917861938477,12.08215618133545,12.358266830444336,12.361540794372559,12.36450481414795,4.116,3,1
0.6412140410715328,1.8071060048841008,20.30786553575026,3.290006084557766,3.2160848023933024,1.2574503421783447,4.1014814376831055,7.085176467895508,9.271289825439453,10.310617446899414,10.574837684631348,10.61607837677002,10.69482421875,3.971,3,1
0.3434018548662865,2.544132496763732,19.499245191584542,3.510574426989983,3.8158319418859272,1.322007656097412,4.515512943267822,8.230175018310547,11.558303833007812,13.757308959960938,13.933723449707031,13.934783935546875,13.935844421386719,4.773,3,1
0.7156767494888228,150.39362025715218,17.722607302162206,3.055769514378301,3.4946801974784933,0.37613725662231445,0.749875545501709,1.0656139850616455,1.3339526653289795,1.5616395473480225,1.7581751346588135,1.9284918308258057,2.0781142711639404,3.913,17,9
0.6405840432175356,12.019984633622162,0.07409814408059204,3.7091552321741887,3.466952601310235,1.1244652271270752,3.468334436416626,5.47899055480957,6.649166107177734,7.2035417556762695,7.540092468261719,7.800680160522461,8.002706527709961,4.619,2,1
0.6579766465829342,29.420937730503162,0.06135728315839711,3.9218093823551192,3.501927307735624,0.903939962387085,2.6620776653289795,4.014732360839844,4.767738342285156,5.178750991821289,5.4445390701293945,5.635679244995117,5.785478591918945,4.774,2,1
0.6840821555826792,23.182819042951554,0.0031352302243726924,3.475380276309509,3.6394349373913566,0.944467306137085,2.838273286819458,4.341703414916992,5.17738151550293,5.604050636291504,5.862653732299805,6.047945022583008,6.186493873596191,4.53,2,1
0.8351117343181214,2.9107209782588095,4.263522724504995,3.175820424984186,3.055524771249407,1.17867112159729,3.5891239643096924,5.625086784362793,6.774975776672363,7.347038269042969,7.741789817810059,8.083212852478027,8.349028587341309,3.618,3,1
0.6062017935412348,0.7827700070569353,10.174115957443817,3.9242942029468266,3.597190266298221,1.354658842086792,4.638775825500488,8.364800453186035,11.53223991394043,13.496955871582031,13.64991569519043,13.654293060302734,13.65818977355957,4.861,3,1
0.7080608213822399,1.972856418866938,226.31864487226204,3.1875526261402483,3.3342334314783937,0.8392348289489746,2.5912020206451416,4.169339179992676,5.101284980773926,5.359356880187988,5.374744415283203,5.375240325927734,5.375155448913574,3.793,3,1
