n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,cluster_id,cluster_conf
0.9548790047863462,100.34217089245722,326.7550327231644,2.8,6.1,0.23513794,0.36853313,0.49615383,0.6058316,0.70387936,0.7907915,0.8699994,0.9416008,93,0.9998605064325504
0.5117449115983976,287.57797230280147,355.8008914337688,5.1,3.7,0.3124969,0.47705865,0.60796,0.7341659,0.85006356,0.9570601,1.0562737,1.1495435,93,0.9999999979060838
0.5099590854703386,271.75282351813587,133.42114227106444,2.4,6.1,0.20107174,0.30725098,0.4130311,0.4973712,0.57340956,0.64491796,0.71089554,0.7731042,93,0.9999999999791847
0.4835222143703767,294.84515130201976,117.15176621363446,3.3,4.1,0.30549765,0.49244118,0.6476455,0.7890415,0.91608953,1.0307102,1.134717,1.2295065,93,0.9999955086979531
0.5060157895556395,255.77262574513995,134.09162953723626,2.4,5.0,0.21187115,0.33023357,0.43624878,0.52786255,0.60983086,0.68544865,0.7561312,0.82084703,93,0.9999999999998668
0.5619291942887029,229.3115060010608,379.5599083403574,4.9,5.5,0.37515402,0.6045923,0.7757616,0.9378638,1.0819268,1.213387,1.3326054,1.4421725,93,0.7653641417801266
0.509347576431466,291.88306146083534,348.99797385979247,5.0,4.6,0.3454752,0.5233383,0.6588073,0.79317045,0.9142723,1.0264807,1.130702,1.2276115,93,0.9999999999713118
0.8828610994121928,109.97023805791616,241.5638202482368,2.1,4.0,0.17540455,0.26790142,0.36100626,0.4437375,0.51667833,0.58287096,0.6434245,0.6992278,93,0.9022842202796252
0.5457504783993669,208.24821267886207,258.3322077344337,3.0,2.6,0.21940589,0.3310299,0.43201375,0.5219054,0.60147285,0.6741946,0.74065757,0.80176115,93,0.9142226158663439
0.5563721723845143,214.18800373140647,159.89979951525166,2.2,3.1,0.18650055,0.28083873,0.3707285,0.44916987,0.52127814,0.58709884,0.6475506,0.7035892,93,0.9999999999125997
0.9341755980669236,151.72949893258058,341.7684060283313,2.4,4.7,0.15808344,0.20285225,0.26981306,0.32362366,0.37088346,0.41588688,0.4596281,0.49909973,93,0.998617486213251
0.9661242707825366,97.66350472321696,362.5438376093984,2.7,4.0,0.21119928,0.31089067,0.4141488,0.5000272,0.5761523,0.6463423,0.71025085,0.7682619,93,0.9348217202737317
0.6062740567299656,275.93231257772504,249.3529758462873,3.2,6.4,0.2509961,0.3455739,0.44752216,0.535923,0.6243329,0.7028866,0.77552605,0.84409904,93,0.9999997139839891
0.566161659992447,252.02288513178524,286.903337566535,4.3,4.1,0.33126783,0.5108814,0.6600342,0.7985616,0.92649317,1.0431852,1.150372,1.2495213,93,0.999999999998888
0.5144501652029054,285.7280094928181,191.62583215961345,3.1,3.6,0.24534655,0.35552096,0.46824288,0.5655124,0.6530106,0.7346375,0.81004596,0.88050914,93,0.999999999996664
0.7928075820904747,114.5271031829989,256.54086367678786,2.1,3.0,0.17187548,0.2575717,0.34084654,0.41246843,0.47680712,0.53534555,0.588238,0.6372423,93,0.9999992802302652
0.9974559108009248,85.10354180050383,334.08960538560245,2.5,3.9,0.20572257,0.31631064,0.4247396,0.51495624,0.5960643,0.6693704,0.73467183,0.79402804,93,0.8837940366256126
0.4363726530361109,266.7226215338849,51.550097645866174,2.0,6.8,0.20442915,0.3249383,0.4359374,0.5265846,0.6099944,0.68657494,0.7556834,0.81988144,93,0.9999999999996554
0.6396677625478573,233.3450364435544,290.85546337216266,3.9,4.8,0.3180647,0.46679354,0.60150194,0.72567034,0.84354925,0.9513626,1.0512204,1.1439953,93,0.9797091776924179
